time [s],position [m],elevation xf [m]
0.0925,-5.22427211218147e-07,-1.26367980714315e-08
0.093,-5.33582274681146e-07,-1.19273485901916e-08
0.0935,-5.44912579823352e-07,-1.11974335785703e-08
0.094,-5.56419827458695e-07,-1.04468043827296e-08
0.0945,-5.68105722091486e-07,-9.6752112414115e-09
0.095,-5.7997197180199e-07,-8.88240329253342e-09
0.0955,-5.92020288129593e-07,-8.06812858183536e-09
0.096,-6.04252385956354e-07,-7.23213406837305e-09
0.0965,-6.1666998338929e-07,-6.37416563358955e-09
0.097,-6.29274801641974e-07,-5.49396808886263e-09
0.0975,-6.42068564914932e-07,-4.59128518174307e-09
0.098,-6.55053000276885e-07,-3.66585960658108e-09
0.0985,-6.68229837542359e-07,-2.71743301019135e-09
0.099,-6.81600809151088e-07,-1.74574600239957e-09
0.0995,-6.95167650045581e-07,-7.50538163061836e-10
0.1,-7.08932097548643e-07,2.68451948823914e-10
0.1005,-7.22895891238687e-07,1.31148678652479e-09
0.101,-7.37060772826e-07,2.37882980528428e-09
0.1015,-7.51428486027153e-07,3.47074545548189e-09
0.102,-7.66000776439384e-07,4.58749917138651e-09
0.1025,-7.80779391413249e-07,5.72935736204331e-09
0.103,-7.95766079925856e-07,6.89658740303253e-09
0.1035,-8.10962592452921e-07,8.08945762466236e-09
0.104,-8.26370680840206e-07,9.30823730414572e-09
0.1045,-8.41992098172637e-07,1.05531966541436e-08
0.105,-8.57828598646219e-07,1.18246068125073e-08
0.1055,-8.7388193743573e-07,1.31227398340739e-08
0.106,-8.9015387056368e-07,1.4447868676893e-08
0.1065,-9.06646154768155e-07,1.58002671942281e-08
0.107,-9.23360547370724e-07,1.71802101229357e-08
0.1075,-9.40298806142205e-07,1.85879730732369e-08
0.108,-9.57462689168724e-07,2.00238325154812e-08
0.1085,-9.74853954717264e-07,2.14880657730443e-08
0.109,-9.92474361100081e-07,2.29809510072971e-08
0.1095,-1.01032566653931e-06,2.45027672067677e-08
0.11,-1.02840962903e-06,2.60537941796194e-08
