time [s],position [m],elevation xf [m]
0,0,0
0.0005,-1.65862376484711e-11,1.0125839485395e-11
0.001,-6.57666693136512e-11,4.04777749703611e-11
0.0015,-1.46669022939108e-10,9.10172461788477e-11
0.002,-2.58414606510411e-10,1.61705441633355e-10
0.0025,-4.00118367155533e-10,2.52503294382529e-10
0.003,-5.70888950830324e-10,3.63371477764621e-10
0.0035,-7.69828762579135e-10,4.9427040120871e-10
0.004,-9.96034027372219e-10,6.45160206070474e-10
0.0045,-1.24859485151058e-09,8.16000761508826e-10
0.005,-1.52659528460136e-09,1.00675166039771e-09
0.0055,-1.82911338208729e-09,1.2173722152748e-09
0.006,-2.15522126833646e-09,1.44782145433655e-09
0.0065,-2.50398520028907e-09,1.69805811745586e-09
0.007,-2.87446563164115e-09,1.96804065225108e-09
0.0075,-3.26571727758092e-09,2.25772721019568e-09
0.008,-3.67678918006299e-09,2.56707564275559e-09
0.0085,-4.10672477360935e-09,2.89604349757002e-09
0.009,-4.5545619516495e-09,3.2445880146761e-09
0.0095,-5.019333133379e-09,3.61266612277802e-09
0.01,-5.50006533113091e-09,4.00023443551648e-09
0.0105,-5.99578021829525e-09,4.40724924785611e-09
0.011,-6.50549419770673e-09,4.83366653242108e-09
0.0115,-7.02821847054432e-09,5.27944193593859e-09
0.012,-7.56295910578952e-09,5.74453077567141e-09
0.0125,-8.10871711007827e-09,6.22888803596225e-09
0.013,-8.66448849815895e-09,6.73246836472549e-09
0.0135,-9.22926436373483e-09,7.25522607004236e-09
0.014,-9.80203095083681e-09,7.79711511675619e-09
0.0145,-1.0381769725711e-08,8.35808912317709e-09
0.015,-1.0967457449067e-08,8.93810135772112e-09
0.0155,-1.15580662489257e-08,9.53710473567836e-09
0.016,-1.2152563693799e-08,1.01550518159862e-08
0.0165,-1.27499128664797e-08,1.0791894797999e-08
0.017,-1.33490724380572e-08,1.14475855183891e-08
0.0175,-1.39489967426301e-08,1.21220754480125e-08
0.018,-1.4548635852317e-08,1.28153156888287e-08
0.0185,-1.51469356526719e-08,1.35272569708706e-08
0.019,-1.57428379186494e-08,1.42578496492736e-08
0.0195,-1.63352803909023e-08,1.50070437012567e-08
0.02,-1.69231968525149e-08,1.57747887232673e-08
0.0205,-1.75055172062024e-08,1.65610339280312e-08
0.021,-1.80811675518229e-08,1.73657281417766e-08
0.0215,-1.86490702644051e-08,1.81888198013213e-08
0.022,-1.92081440724796e-08,1.90302569513795e-08
0.0225,-1.97573041368334e-08,1.98899872418269e-08
0.023,-2.02954621296814e-08,2.07679579249289e-08
0.0235,-2.08215263142324e-08,2.16641158526593e-08
0.024,-2.13344016244733e-08,2.25784074741977e-08
0.0245,-2.18329897455576e-08,2.35107788331442e-08
0.025,-2.23161891943887e-08,2.44611755650884e-08
0.0255,-2.27828954006997e-08,2.54295428950653e-08
0.026,-2.32320007882814e-08,2.64158256348949e-08
0.0265,-2.36623948567304e-08,2.74199681809311e-08
0.027,-2.40729642635414e-08,2.84419145114896e-08
0.0275,-2.44625929064463e-08,2.94816081843671e-08
0.028,-2.48301620061095e-08,3.05389923347497e-08
0.0285,-2.51745501891987e-08,3.16140096725381e-08
0.029,-2.54946335716997e-08,3.27066024802466e-08
0.0295,-2.57892858425893e-08,3.3816712610568e-08
0.03,-2.60573783478493e-08,3.49442814842923e-08
0.0305,-2.62977801747122e-08,3.60892500878006e-08
0.031,-2.65093582362439e-08,3.72515589711742e-08
0.0315,-2.66909773561676e-08,3.84311482457643e-08
0.032,-2.68415003540358e-08,3.9627957582271e-08
0.0325,-2.69597881307388e-08,4.08419262082941e-08
0.033,-2.70446997540509e-08,4.20729929066144e-08
0.0335,-2.70950925447133e-08,4.33210960128165e-08
0.034,-2.71098221625732e-08,4.45861734133896e-08
0.0345,-2.70877426932024e-08,4.58681625435634e-08
0.035,-2.70277067343509e-08,4.71670003854733e-08
0.0355,-2.69285654833171e-08,4.84826234660601e-08
0.036,-2.67891688237589e-08,4.98149678551609e-08
0.0365,-2.66083654134759e-08,5.11639691633799e-08
0.037,-2.63850027717147e-08,5.25295625404959e-08
0.0375,-2.61179273673937e-08,5.39116826732286e-08
0.038,-2.58059847070634e-08,5.53102637834825e-08
0.0385,-2.54480194230444e-08,5.67252396266984e-08
0.039,-2.50428753621838e-08,5.81565434894341e-08
0.0395,-2.45893956745152e-08,5.96041081879591e-08
0.04,-2.40864229018533e-08,6.10678660664738e-08
0.0405,-2.35327990673707e-08,6.2547748995053e-08
0.041,-2.29273657642938e-08,6.40436883677805e-08
0.0415,-2.22689642457133e-08,6.55556151014949e-08
0.042,-2.15564355140025e-08,6.70834596332536e-08
0.0425,-2.07886204104652e-08,6.86271519191502e-08
0.043,-1.99643597054737e-08,7.01866214322823e-08
0.0435,-1.90824941883681e-08,7.17617971611671e-08
0.044,-1.81418647572733e-08,7.33526076078756e-08
0.0445,-1.71413125102081e-08,7.49589807862749e-08
0.045,-1.60796788346588e-08,7.65808442205248e-08
0.0455,-1.49558054986685e-08,7.82181249431705e-08
0.046,-1.3768534741361e-08,7.98707494933917e-08
0.0465,-1.25167093636393e-08,8.1538643915495e-08
